S_INFO_WINDCODE,TRADE_DT,S_DQ_ADJPRECLOSE,S_DQ_OPEN,S_DQ_ADJCLOSE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_TRADESTATUS,WIND_PRI_IND,S_VAL_MV,S_DQ_TURN,RETURN,RETURN_NXT,S_DQ_TURN_winsorized,lnMV,turnover
002307.SZ,2010-01-04,27.4000,27.4000,27.7600,30.1400,24.6600,交易,Industrials,525913.2,8.9884,0.013138686131386861313868613,-0.0021613832853025936599423631,8.9884,13.172891459091305,1.924225963100184
600330.SH,2010-01-04,24.2000,6.0400,24.2800,6.6200,5.4200,交易,Materials,355646.3136,2.9853,0.003305785123966942148760331,0.020181219110378912685337727,2.9853,12.78169201486121,-0.3298363930847207
600328.SH,2010-01-04,30.0800,10.7200,29.4800,11.6300,9.5100,交易,Materials,372046.2791,3.5744,-0.0199468085106382978723404255,0.036635006784260515603799186,3.5744,12.826773531700272,-0.10777372804162468
000888.SZ,2010-01-04,36.6200,12.7800,36.1000,14.0800,11.5200,交易,Consumer Discretionary,296807.256,1.3943,-0.0141998907700709994538503550,-0.0166204986149584487534626039,1.3943,12.600838237415882,-0.9372121269679037
600746.SH,2010-01-04,67.0000,9.4000,68.6400,10.3100,8.4300,交易,Materials,294164.5939,2.3825,0.024477611940298507462686567,0.003205128205128205128205128,2.3825,12.59189473286436,-0.5756461036984053
600738.SH,2010-01-04,50.1200,9.3000,49.8500,10.2300,8.3700,交易,Consumer Discretionary,243068.0377,4.0689,-0.0053870710295291300877893057,-0.0194583751253761283851554664,4.0689,12.401096673667631,0.01867491111884117
600237.SH,2010-01-04,29.4300,7.0300,29.8900,7.7400,6.3400,交易,Information Technology,286000.0,3.9671,0.015630309208290859667006456,0.002676480428236868517898963,3.9671,12.56374708980199,0.002346987162202146
600293.SH,2010-01-04,30.5600,13.9000,30.8200,15.5500,12.7300,交易,Materials,491260.7076,6.3943,0.008507853403141361256544503,-0.0068137573004542504866969500,6.3943,13.104730238569287,0.9632346248943048
000996.SZ,2010-01-04,108.2100,39.6000,106.5100,44.1400,36.1200,交易,Consumer Discretionary,908500.0,8.7112,-0.0157101931429627576009610942,0.004600506994648389822551873,8.7112,13.719550166818363,1.8931866907651356
000570.SZ,2010-01-04,62.1000,14.2100,62.0600,15.5900,12.7500,交易,Industrials,794906.0456,1.8579,-0.0006441223832528180354267311,-0.0127296165001611343860779890,1.8579,13.58597920501725,-0.6396218210777531
002172.SZ,2010-01-04,26.2400,13.0900,26.7400,14.3800,11.7600,交易,Materials,463536.0,3.5862,0.019054878048780487804878049,-0.0007479431563201196709050112,3.5862,13.04663933087481,-0.07500372916890513
002070.SZ,2010-01-04,17.8900,8.4400,17.8300,9.2600,7.5800,交易,Consumer Discretionary,190828.872,1.1336,-0.0033538289547233091112353270,0.020190689848569826135726304,1.1336,12.15913234730321,-1.0900360109186495
600420.SH,2010-01-04,60.9800,14.2500,62.9400,15.4400,12.6400,交易,Health Care,416925.6995,1.2909,0.032141685798622499180059036,0.043533523991102637432475373,1.2909,12.940663306248162,-0.9312105054393726
300008.SZ,2010-01-04,50.9100,51.2000,51.0100,56.0000,45.8200,交易,Industrials,257090.4,3.6151,0.001964250638381457473973679,0.002940599882376004704959812,3.6151,12.45718305300025,-0.14063967621797038
002224.SZ,2010-01-04,27.9900,23.2300,28.4100,25.5800,20.9300,交易,Materials,209568.0,10.7245,0.015005359056806002143622722,0.003519887363604364660330869,10.7245,12.25280354801778,2.4424588425158107
002286.SZ,2010-01-04,45.0000,45.0000,44.3000,49.5000,40.5000,交易,Consumer Staples,354400.0,9.8825,-0.0155555555555555555555555556,0.018058690744920993227990971,9.8825,12.778181497713064,2.201354851848132
002115.SZ,2010-01-04,39.7600,26.0100,42.2500,28.3800,23.2200,交易,Information Technology,367702.2,8.2102,0.062625754527162977867203219,0.042366863905325443786982249,8.2102,12.815028650409893,1.59229636598552
600255.SH,2010-01-04,37.9700,7.1600,37.9700,7.8400,6.4200,交易,Materials,320493.5,1.4364,0,0.018172241243086647353173558,1.4364,12.677617274325971,-0.9118280896811752
002023.SZ,2010-01-04,63.7600,18.2500,62.5700,20.0600,16.4200,交易,Industrials,336769.8142,1.3392,-0.0186637390213299874529485571,0.010708007032124021096372063,1.3392,12.72715493203681,-0.9410982473721664
000548.SZ,2010-01-04,33.6200,10.0500,34.2600,10.9900,8.9900,交易,Industrials,508201.6956,2.0883,0.019036287923854848304580607,-0.0049620548744892002335084647,2.0883,13.138633686344335,-0.6129149157187924
002272.SZ,2010-01-04,30.4500,27.1900,30.4600,29.9800,24.5300,交易,Industrials,275871.2,6.1770,0.000328407224958949096880131,0.022324359816152330925804334,6.1770,12.527689369109844,0.8088358497309658
600336.SH,2010-01-04,11.6300,7.7500,11.6400,8.5000,6.9600,交易,Consumer Discretionary,263961.864,1.6635,0.000859845227858985382631126,0.014604810996563573883161512,1.6635,12.483559917148435,-0.8535706531158217
002117.SZ,2010-01-04,20.9200,20.1100,21.8400,21.7500,17.7900,交易,Industrials,227040.0,5.4579,0.043977055449330783938814532,0.041666666666666666666666667,5.4579,12.33288149239387,0.5196896506682167
002174.SZ,2010-01-04,15.9900,15.7000,15.7500,17.2800,14.1400,交易,Consumer Discretionary,128308.0578,4.9520,-0.0150093808630393996247654784,0.000634920634920634920634921,4.9520,11.762189352996387,0.26018025436031067
600650.SH,2010-01-04,52.5000,16.0500,51.7100,17.4700,14.2900,交易,Industrials,862718.2073,4.5554,-0.0150476190476190476190476190,0.016051053954747631019145233,4.5554,13.667843389861089,0.3610953313103812
601001.SH,2010-01-04,45.9000,45.6000,45.6800,49.4900,40.4900,交易,Energy,3747414.3,0.4718,-0.0047930283224400871459694989,0.039404553415061295971978984,1.0639,15.136576640118347,-0.7304991806029302
